user,mode,dt,d_km,slope,t_a,t_b,lat_a,lng_a,lat_b,lng_b,near_frontier,reach_frac
3,walking,17.0,0.346,49.1,46.0,29.0,51.57284,-0.03673,51.57033,-0.03377,False,0.302
2,transit,17.0,0.32,53.1,67.0,50.0,51.58018,-0.05022,51.58038,-0.0456,False,1.0
2,transit,17.0,0.347,49.0,67.0,84.0,51.47467,-0.15482,51.47216,-0.15186,False,1.0
5,cycling,17.0,0.324,52.5,106.0,89.0,51.49635,-0.02953,51.49363,-0.03119,False,0.783
4,cycling,17.0,0.346,49.1,93.0,110.0,51.50305,-0.05684,51.50054,-0.05389,True,0.547
2,transit,17.0,0.346,49.1,58.0,41.0,51.54344,0.07549,51.54093,0.07843,False,1.0
0,cycling,16.0,0.347,46.2,66.0,82.0,51.50548,-0.1765,51.508,-0.17946,False,0.677
0,cycling,16.0,0.324,49.4,110.0,94.0,51.50683,-0.03212,51.50411,-0.03378,True,0.677
5,cycling,16.0,0.324,49.3,63.0,47.0,51.52702,-0.22628,51.52429,-0.22794,False,0.783
2,transit,16.0,0.32,50.0,61.0,45.0,51.5829,-0.04856,51.58311,-0.04394,False,1.0
3,walking,16.0,0.324,49.4,106.0,122.0,51.51898,0.00221,51.51626,0.00055,True,0.302
3,walking,16.0,0.346,46.2,57.0,41.0,51.57242,-0.04597,51.56991,-0.04301,False,0.302
0,cycling,16.0,0.324,49.4,98.0,82.0,51.50305,-0.05684,51.50033,-0.0585,False,0.677
2,transit,16.0,0.324,49.4,43.0,59.0,51.50012,-0.06312,51.50284,-0.06146,False,1.0
1,cycling,16.0,0.324,49.3,37.0,53.0,51.4937,-0.2016,51.49097,-0.20325,False,0.838
4,cycling,16.0,0.324,49.4,111.0,95.0,51.48838,-0.0299,51.49111,-0.02824,True,0.547
2,transit,16.0,0.324,49.4,40.0,56.0,51.5531,0.05447,51.55582,0.05613,False,1.0
5,cycling,16.0,0.324,49.3,36.0,52.0,51.50527,-0.18112,51.508,-0.17946,False,0.783
5,cycling,16.0,0.346,46.2,106.0,90.0,51.49635,-0.02953,51.49887,-0.03248,False,0.783
5,cycling,16.0,0.347,46.2,47.0,63.0,51.5245,-0.22332,51.52702,-0.22628,False,0.783
1,cycling,16.0,0.347,46.2,53.0,37.0,51.49097,-0.20325,51.49348,-0.20621,False,0.838
5,cycling,16.0,0.324,49.4,109.0,93.0,51.48629,-0.01773,51.48356,-0.01939,False,0.783
2,transit,16.0,0.324,49.4,47.0,31.0,51.56006,-0.02657,51.56278,-0.02491,False,1.0
2,transit,16.0,0.324,49.4,45.0,61.0,51.58562,-0.04689,51.5829,-0.04856,False,1.0
1,cycling,16.0,0.347,46.2,56.0,72.0,51.48602,-0.13897,51.4835,-0.13601,False,0.838
1,cycling,16.0,0.32,50.0,121.0,105.0,51.48859,-0.02529,51.48838,-0.0299,True,0.838
0,cycling,16.0,0.324,49.3,66.0,82.0,51.50527,-0.18112,51.508,-0.17946,False,0.677
3,walking,16.0,0.32,50.0,30.0,46.0,51.57305,-0.03211,51.57284,-0.03673,False,0.302
2,transit,15.0,0.32,46.9,69.0,54.0,51.48608,-0.02234,51.48629,-0.01773,False,1.0
0,cycling,15.0,0.324,46.2,99.0,84.0,51.52702,-0.22628,51.52429,-0.22794,False,0.677
0,cycling,15.0,0.347,43.3,84.0,99.0,51.5245,-0.22332,51.52702,-0.22628,False,0.677
2,transit,15.0,0.32,46.9,62.0,47.0,51.57242,-0.04597,51.57263,-0.04135,False,1.0
