idx,lat,lng,driving_o0,cycling_o0,transit_o0,walking_o0,driving_o1,driving_o2,driving_o3,n_modes_anom,n_origins_anom
142,51.41677,-0.14511,1.5,1.0,1.5,3.0,1.5,1.5,2.0,0,0
143,51.49292,-0.16169,-1.0,0.0,-1.0,,0.5,0.0,0.5,0,0
144,51.46332,-0.17067,-0.5,1.5,2.0,2.5,0.5,0.5,0.5,0,0
145,51.48005,-0.20987,0.5,-1.5,4.0,3.0,0.5,0.5,1.0,0,0
146,51.53944,-0.18731,-1.0,0.0,-1.5,,0.0,0.5,-0.5,0,0
147,51.46462,-0.14299,-1.0,0.5,-2.5,-0.5,0.0,0.5,0.5,0,0
148,51.56949,-0.05225,-0.5,,3.0,,-1.0,2.0,2.0,0,0
149,51.49643,-0.19994,0.5,0.0,3.5,,1.5,1.0,2.0,0,0
150,51.57074,-0.02454,0.5,,-3.0,,-1.0,0.5,0.0,0,0
151,51.55315,-0.06222,-0.5,0.0,1.0,,0.0,1.5,0.5,0,0
152,51.48188,-0.05628,2.0,3.5,5.0,,1.5,-0.5,0.0,0,0
153,51.4335,-0.18426,-1.0,-2.0,-4.5,-2.5,-0.5,0.0,-0.5,0,0
154,51.55834,0.05319,-0.5,,1.0,,0.5,0.5,0.5,0,0
155,51.55956,0.08087,0.0,,-0.5,,0.0,0.5,0.0,0,0
156,51.54201,0.0432,-1.0,,0.5,,-1.0,-0.5,-0.5,0,0
157,51.44989,-0.17433,0.0,-2.0,-3.5,-4.0,1.0,0.0,0.5,0,0
158,51.58852,0.01777,1.0,,3.5,,0.0,1.0,1.5,0,0
159,51.50397,-0.20883,0.5,2.0,-0.5,,-0.5,0.0,0.5,0,0
160,51.53822,-0.15662,1.0,2.5,-0.5,,1.0,0.5,0.5,0,0
161,51.52465,-0.04817,1.0,-1.0,2.0,,-0.5,-0.5,0.0,0,0
162,51.5174,-0.20518,0.0,-0.5,2.0,,-0.5,0.0,0.0,0,0
163,51.50388,-0.09671,0.0,-2.0,-2.0,,-0.5,1.5,1.5,0,0
164,51.52185,-0.16656,-0.5,-0.5,-1.0,,-0.5,-1.0,-1.0,0,0
165,51.51836,-0.01163,-1.0,,1.5,,-0.5,-1.0,0.0,0,0
166,51.5196,0.01605,2.0,,-5.0,,2.0,3.0,2.0,0,0
167,51.4888,-0.02068,-0.5,-0.5,-1.0,,-1.5,-1.0,-1.0,0,0
168,51.43128,-0.1184,-1.5,-1.5,3.5,-0.5,-0.5,-0.5,0.5,0,0
169,51.41929,-0.14807,0.0,-0.5,-5.0,0.5,0.0,-0.5,-1.0,0,0
170,51.49543,-0.16466,0.5,-2.0,3.5,,0.5,0.5,1.0,0,0
171,51.56424,-0.10935,-0.5,,-3.0,,0.0,1.0,0.5,0,0
172,51.49672,-0.13696,0.5,-0.5,0.0,,0.5,0.5,0.0,0,0
173,51.56297,-0.13707,1.0,,-2.0,,0.0,-1.0,0.0,0,0
174,51.46584,-0.17363,0.5,-0.5,1.5,1.5,0.0,-0.5,-0.5,0,0
175,51.46713,-0.14595,0.0,-0.5,2.5,2.0,-0.5,-1.0,-0.5,0,0
