pattern,n_coarse,n_fine,ours_variance,own_grid_opt,ref_opt,seam_gap_pct,quant_gap_pct,total_gap_pct,quant_km,ours_calls,exhaustive_calls,call_ratio,certified,certified_rounds,certified_calls,certified_gap_pct,city,n,seed
h3,597,4187,1679.2665,1679.2665,1673.3363,0.0,0.3544,0.3544,0.4696,2445,20935,0.1168,True,12,3855,0.3544,bengaluru,5,6
square,612,4297,1681.6511,1674.2592,1673.3363,0.4415,0.0552,0.4969,0.0519,2490,21485,0.1159,True,15,4110,0.0552,bengaluru,5,6
octile,612,4297,1681.6511,1674.2592,1673.3363,0.4415,0.0552,0.4969,0.0519,2510,21485,0.1168,True,15,4125,0.0552,bengaluru,5,6
triangle,613,4306,1676.923,1672.8158,1673.3363,0.2455,-0.0311,0.2143,0.0376,2475,21530,0.115,True,26,4580,-0.0311,bengaluru,5,6
trunc_square,613,4302,1677.3947,1674.0491,1673.3363,0.1998,0.0426,0.2425,0.107,2540,21510,0.1181,True,17,4480,0.0426,bengaluru,5,6
poisson,627,4338,1685.1621,1674.595,1673.3363,0.631,0.0752,0.7067,0.1917,2625,21690,0.121,True,19,4505,0.0752,bengaluru,5,6
h3,145,1005,2.94,2.94,2.8297,0.0,3.897,3.897,0.23,1245,5025,0.2478,True,0,1315,3.897,bengaluru,5,7
square,146,1027,3.1598,3.1598,2.8297,0.0,11.664,11.664,0.2633,1325,5135,0.258,True,0,1425,11.664,bengaluru,5,7
octile,146,1027,3.1598,3.1598,2.8297,0.0,11.664,11.664,0.2633,1365,5135,0.2658,True,0,1465,11.664,bengaluru,5,7
triangle,152,1029,3.5594,3.5594,2.8297,0.0,25.787,25.787,0.3736,1255,5145,0.2439,True,0,1335,25.787,bengaluru,5,7
trunc_square,144,1033,3.3449,3.3449,2.8297,0.0,18.2065,18.2065,0.1604,1325,5165,0.2565,True,0,1425,18.2065,bengaluru,5,7
poisson,148,1029,2.7662,2.7662,2.8297,0.0,-2.244,-2.244,0.0303,1250,5145,0.243,True,0,1330,-2.244,bengaluru,5,7
h3,185,1303,47.4976,47.4976,46.6364,0.0,1.8465,1.8465,0.1364,1385,6515,0.2126,True,0,1495,1.8465,bengaluru,5,8
